  1,48
  1,08
  0,85
  1,09
  1,24
  1,89
  0,83
  0,99
  1,69
  0,97
  1,01
  1,10
  0,61
  0,31
  1,19
  0,72
  0,24
  0,93
  0,67
  0,99
  1,69
  0,74
  1,04
  1,12
  0,38
  0,62
  0,53
  1,37
  1,02
  0,53
  0,65
  0,66
  2,28
  0,39
  0,46
  1,08
  0,42
  1,05
  1,13
  0,87
  0,85
  1,00
  0,64
  0,51
  0,90
  1,36
  0,55
  0,25
  0,58
  0,86
  0,43
  0,60
  0,58
  0,74
  0,75
  0,21
  0,31
  0,42
  0,36
  0,64
#DIV/0!
  -
  0,40
  0,30
  0,33
  -
  0,33
  0,13
#DIV/0!
  0,36
#DIV/0!
  1,00
  1,00
#DIV/0!
#DIV/0!
#DIV/0!
#DIV/0!
  0,46
  0,71
  0,43
#DIV/0!
#DIV/0!
#DIV/0!
#DIV/0!
#DIV/0!
#DIV/0!
  0,43
#DIV/0!
#DIV/0!
#DIV/0!
#DIV/0!
